cluster_id,industry_final,count
21,hospitality,12
21,internet,81
21,legal services,13
21,marketing and advertising,9
21,museums and institutions,26
21,non-profit organization management,89
21,oil & energy,48
21,primary/secondary education,174
21,professional training & coaching,20
21,retail,21
21,sports,25
21,staffing and recruiting,155
21,writing and editing,16
22,Healthcare & Social Assistance,261
22,Unknown,1002
22,hospital & health care,12
23,Food Processing,292
23,Healthcare & Social Assistance,38
23,Information Technology Enabled Services (ITeS),31
23,Retail & E-commerce,20
23,Tourism & Hospitality,616
23,Unknown,1393
23,apparel & fashion,9
23,consumer goods,58
23,consumer services,29
23,education management,49
23,electrical/electronic manufacturing,10
23,entertainment,153
23,events services,34
23,facilities services,17
23,financial services,57
23,food & beverages,467
23,food production,51
23,gambling & casinos,20
23,"health, wellness and fitness",123
23,higher education,48
23,hospital & health care,108
23,hospitality,438
23,industrial automation,37
23,information technology and services,35
23,internet,17
23,"leisure, travel & tourism",13
23,luxury goods & jewelry,76
23,management consulting,39
23,maritime,15
23,marketing and advertising,93
23,non-profit organization management,13
23,real estate,35
23,renewables & environment,23
23,restaurants,1624
23,retail,217
23,security and investigations,48
23,staffing and recruiting,82
23,supermarkets,67
23,transportation/trucking/railroad,35
23,wholesale,16
24,Accounting & Finance Services,16
24,Aerospace & Defense,11
24,Artificial Intelligence & Machine Learning,12
24,Biotechnology,16
24,Capital Goods & Industrial Machinery,31
24,Education Services,41
24,Environmental Services,52
24,Gems & Jewellery,23
24,Healthcare & Social Assistance,92
24,IT Services & Software Development,111
24,Information Technology Enabled Services (ITeS),9
24,Leather & Footwear,23
24,Legal Services,60
24,"Marketing, Advertising & PR",40
24,Media & Entertainment,13
24,Medical Value Travel,22
24,Professional Services & Consulting,329
24,Retail & E-commerce,82
24,Transport & Logistics Services,65
24,Unknown,1419
24,airlines/aviation,12
24,apparel & fashion,9
24,automotive,101
24,aviation & aerospace,35
24,banking,50
24,biotechnology,39
24,business supplies and equipment,17
24,civil engineering,41
24,computer & network security,56
24,computer hardware,23
24,computer software,92
24,construction,152
24,consumer electronics,19
24,consumer goods,12
24,consumer services,76
24,defense & space,27
24,education management,18
24,electrical/electronic manufacturing,123
24,entertainment,12
24,environmental services,23
24,facilities services,31
24,financial services,87
24,fine art,18
24,food & beverages,59
24,gambling & casinos,26
24,"health, wellness and fitness",79
24,higher education,62
24,hospital & health care,232
24,hospitality,46
24,human resources,182
24,information technology and services,498
24,international affairs,18
24,international trade and development,5
24,internet,44
24,law practice,35
24,legal services,30
24,logistics and supply chain,315
24,machinery,47
24,management consulting,80
24,marketing and advertising,67
24,media production,20
24,medical devices,13
24,mining & metals,78
24,motion pictures and film,13
24,non-profit organization management,67
24,nonprofit organization management,28
24,oil & energy,112
24,pharmaceuticals,21
24,program development,24
24,real estate,51
24,renewables & environment,65
24,research,29
24,retail,48
24,sports,26
24,staffing and recruiting,1847
24,telecommunications,150
24,textiles,10
24,transportation/trucking/railroad,20
24,wholesale,17
25,Education Services,135
25,Healthcare & Social Assistance,119
25,Unknown,1935
25,civic & social organization,15
25,computer software,131
25,construction,39
25,consumer electronics,29
25,consumer services,26
25,defense & space,123
25,design,24
25,e-learning,21
25,education management,819
25,electrical/electronic manufacturing,222
25,fine art,27
25,government administration,26
25,"health, wellness and fitness",281
25,higher education,394
25,hospital & health care,1421
25,hospitality,9
25,human resources,11
25,individual & family services,101
25,internet,59
25,judiciary,10
25,legal services,10
25,management consulting,22
25,mental health care,409
25,mining & metals,11
25,non-profit organization management,167
25,oil & energy,25
25,primary/secondary education,559
25,public safety,14
25,staffing and recruiting,584
25,wholesale,13
26,Accounting & Finance Services,112
26,Data Science & Analytics,12
26,Financial Services & Fintech,20
26,Healthcare & Social Assistance,26
26,IT Services & Software Development,505
26,Legal Services,30
26,Retail & E-commerce,100
26,Robotics & Industrial Automation,56
26,Unknown,876
26,architecture & planning,17
26,building materials,36
26,business supplies and equipment,36
26,civil engineering,39
26,computer games,14
26,computer hardware,21
26,computer networking,15
26,computer software,442
26,construction,51
26,cosmetics,30
26,defense & space,84
26,education management,16
26,farming,8
26,financial services,120
26,higher education,29
26,hospitality,15
26,human resources,143
26,information technology and services,1410
26,insurance,29
26,internet,62
26,management consulting,111
26,mechanical or industrial engineering,10
26,nonprofit organization management,34
26,outsourcing/offshoring,63
26,public policy,21
26,renewables & environment,26
26,retail,77
26,staffing and recruiting,470
26,translation and localization,222
27,Healthcare & Social Assistance,1332
27,Medical Value Travel,111
27,Unknown,748
27,accounting,11
27,aviation & aerospace,16
27,computer networking,12
27,construction,29
27,consumer services,17
27,cosmetics,183
27,entertainment,10
27,events services,26
27,government administration,27
27,"health, wellness and fitness",265
27,hospital & health care,1305
27,individual & family services,106
27,information services,57
27,information technology and services,44
27,internet,92
27,"leisure, travel & tourism",9
27,marketing and advertising,51
27,medical devices,11
27,non-profit organization management,44
27,outsourcing/offshoring,11
27,philanthropy,26
27,real estate,67
27,restaurants,47
27,staffing and recruiting,133
27,telecommunications,55
27,veterinary,20
28,Healthcare & Social Assistance,698
28,Medical Value Travel,1531
29,Aerospace & Defense,367
29,Artificial Intelligence & Machine Learning,483
29,Automotive & Electric Vehicles,30
29,Capital Goods & Industrial Machinery,120
29,Communication Services,21
29,Construction & Civil Infrastructure,18
29,Cybersecurity,23
29,Data Science & Analytics,216
29,Education Services,42
29,Electronics & Semiconductors (ESDM),42
29,Energy & Power Generation,17
29,Environmental Services,19
29,Gems & Jewellery,9
29,IT Services & Software Development,1852
29,Information Technology Enabled Services (ITeS),385
29,Legal Services,293
29,Media & Entertainment,8
29,Retail & E-commerce,42
29,Robotics & Industrial Automation,86
29,Shipping & Marine Engineering,113
29,Transport & Logistics Services,80
29,Unknown,1018
29,accounting,65
29,architecture & planning,30
29,automotive,138
29,aviation & aerospace,122
29,building materials,96
29,capital markets,24
29,chemicals,21
29,civil engineering,40
29,computer & network security,108
29,computer games,44
29,computer hardware,26
29,computer networking,97
29,computer software,348
29,construction,118
29,consumer electronics,33
29,consumer goods,23
29,dairy,37
29,defense & space,1071
29,design,30
29,e-learning,14
29,electrical/electronic manufacturing,37
29,entertainment,38
29,financial services,550
29,government administration,34
29,graphic design,84
29,higher education,145
29,hospital & health care,38
29,hospitality,38
29,human resources,41
29,import and export,38
29,individual & family services,46
29,industrial automation,38
29,information technology and services,1456
29,insurance,28
29,internet,384
29,investment management,30
29,legal services,49
